"Identifier" "Activity" "Feature_Average" "Feature_Standard_Deviation" "body_acc_x_Average" "body_acc_x_Standard_Deviation" "body_acc_y_Average" "body_acc_y_Standard_Deviation" "body_acc_z_Average" "body_acc_z_Standard_Deviation" "body_gyro_x_Average" "body_gyro_x_Standard_Deviation" "body_gyro_y_Average" "body_gyro_y_Standard_Deviation" "body_gyro_z_Average" "body_gyro_z_Standard_Deviation" "total_acc_x_Average" "total_acc_x_Standard_Deviation" "total_acc_y_Average" "total_acc_y_Standard_Deviation" "total_acc_z_Average" "total_acc_z_Standard_Deviation"
1 1 -0.319105810200331 0.452722654264638 -5.04911990559208e-05 0.234133338780874 -0.000128854135947368 0.192116753389082 -0.000938320109560033 0.136100278562349 -0.014599858215148 0.460148204398441 0.00217139307711349 0.725724933538022 -0.00061430490753125 0.319697711403702 0.997061180921053 0.233861527742345 -0.263882523646155 0.191816890451813 -0.0733891163883255 0.134023290420627
1 2 -0.40699661814598 0.484862873610122 -0.00455728508969634 0.211075716737085 -0.00357455272079452 0.172166978248995 0.00363560725781545 0.179359824376013 0.0806764951158314 0.398028599008249 -0.041460951730513 0.770670697587944 -0.0123806836501887 0.240820734434467 0.962941935097288 0.210133677853263 -0.347215722982459 0.171065484037623 -0.0759891528358196 0.172738396075077
1 3 -0.297226292824001 0.455514566936833 0.00239312484429209 0.336079889792081 0.00378679923166454 0.167107738240112 0.000244930193343431 0.141422318310637 -0.0076353937466199 0.473650027519683 -0.00749376960210459 0.670805656547777 0.00166069456162309 0.426010424400372 0.997136499202806 0.335222988334404 -0.244431799830995 0.166002821400445 -0.0663263184201658 0.138533330819824
1 4 -0.633405230612481 0.546477904027143 -0.00336698807718783 0.0088169456999404 0.00830296874545219 0.0149526077204382 0.00124322219354089 0.0138905489270345 -0.0182292707113541 0.0215434646598802 -0.0079394077457631 0.0276759264377177 -0.0103572343574678 0.030553897435541 0.920397420977394 0.00646400176746432 0.230512473086769 0.00762917750910514 0.322026273969415 0.00854657876357304
1 5 -0.647424789141436 0.542181337789553 0.000276532436453538 0.00279620777116816 0.000524808830951651 0.00631350409967788 -0.000757860253643455 0.00666297501787722 0.0038027338948237 0.0128522266389872 0.00674630111015065 0.0114006198961243 -0.00510396859477624 0.0115637624739882 1.00285410551297 0.00240779994949359 -0.254059246948703 0.00454784762390517 0.00697522471600118 0.00470244282802395
1 6 -0.607522391836014 0.542294404739403 -0.0115358889115141 0.0247932385018487 -0.0122609074114397 0.0296083056112129 -0.00161731865601312 0.0343065220791623 0.0114704403783495 0.111817844454636 0.00444869266497344 0.0394522230181932 0.0275984349941828 0.0466008544566952 0.148162573229063 0.018890489881379 0.710454980704781 0.0254179155859209 0.430974251735484 0.0272580495080411
2 1 -0.385708093716054 0.471751410540144 -0.000236823526445975 0.188678607759782 -0.0007640919728125 0.159223036474717 0.000927358610169756 0.106385882218855 -0.0261456554122987 0.383504266451495 0.0117845148574828 0.355332679945745 -0.00154868120596663 0.25345015970436 0.981170597153072 0.188328319595238 -0.328878587927701 0.158733275151833 0.0786663049567929 0.105553809812103
2 2 -0.363983305102955 0.466703992931453 -0.00626711601526693 0.227428597731043 -0.00224174608150846 0.191017624067003 -0.0146031169508174 0.16269940599083 -0.0309573604757487 0.490001601715019 0.0190761039483724 0.410568810200016 -0.007743288215625 0.406984635848773 0.888648334407552 0.226144867715474 -0.399876286108333 0.188107185987623 -0.212631736700791 0.160406577528359
2 3 -0.259677293061387 0.465729490758389 8.15666749335119e-06 0.341385987338924 -0.00289702140073138 0.217471386768029 -0.00280964498676695 0.164368852531311 -0.0910397032603723 0.593160810128313 0.031386088491999 0.449272731386614 0.00479812537430186 0.351097151337718 0.945216230834442 0.340525652499106 -0.310210784831449 0.216260901216394 -0.0514648999197763 0.162304987785511
2 4 -0.640597914078914 0.536914141147994 -0.000100652413850713 0.00570006599370221 0.000760627952901495 0.0101547066930396 -0.000300818998898777 0.0102503102228301 -0.0183536569299141 0.0141148265038151 0.0065063506496678 0.0181485853726156 -0.0199630489963625 0.0216553942595138 1.00072676413043 0.00364126414634849 -0.0866806083192255 0.0071245124028211 0.189468410155231 0.00702011215490257
